Date,Open,High,Low,Close,Adj Close,Volume
2022-07-20,2980.000000,3030.000000,2980.000000,3020.000000,2822.891846,99298600
2022-07-21,3040.000000,3050.000000,2970.000000,3020.000000,2822.891846,73196600
2022-07-22,3040.000000,3080.000000,2990.000000,3030.000000,2832.239258,94295700
2022-07-25,3050.000000,3120.000000,3040.000000,3100.000000,2897.670654,134979600
2022-07-26,3140.000000,3170.000000,3120.000000,3160.000000,2953.754395,83178500
2022-07-27,3200.000000,3300.000000,3180.000000,3280.000000,3065.922363,130334900
2022-07-28,3290.000000,3330.000000,3250.000000,3280.000000,3065.922363,94451400
2022-07-29,3300.000000,3350.000000,3230.000000,3250.000000,3037.880371,85291200
2022-08-01,3260.000000,3370.000000,3240.000000,3350.000000,3131.353760,146347800
2022-08-02,3350.000000,3360.000000,3180.000000,3180.000000,2972.449219,112428800
2022-08-03,3190.000000,3330.000000,3180.000000,3310.000000,3093.964355,114505400
2022-08-04,3310.000000,3310.000000,3160.000000,3190.000000,2981.796387,109420800
2022-08-05,3140.000000,3170.000000,3100.000000,3130.000000,2925.712646,124725800
2022-08-08,3090.000000,3130.000000,3030.000000,3080.000000,2878.975830,94030900
2022-08-09,3110.000000,3170.000000,3100.000000,3130.000000,2925.712646,86949000
2022-08-10,3150.000000,3190.000000,3120.000000,3140.000000,2935.059814,81369800
2022-08-11,3230.000000,3250.000000,3150.000000,3150.000000,2944.407227,127285200
2022-08-12,3160.000000,3210.000000,3130.000000,3190.000000,2981.796387,73526600
2022-08-15,3220.000000,3240.000000,3150.000000,3160.000000,2953.754395,53868300
2022-08-16,3160.000000,3190.000000,3120.000000,3150.000000,2944.407227,48691000
2022-08-18,3180.000000,3280.000000,3170.000000,3250.000000,3037.880371,84704200
2022-08-19,3270.000000,3310.000000,3240.000000,3250.000000,3037.880371,73447800
2022-08-22,3290.000000,3300.000000,3140.000000,3150.000000,2944.407227,90711300
2022-08-23,3170.000000,3380.000000,3160.000000,3350.000000,3131.353760,175076900
2022-08-24,3330.000000,3420.000000,3270.000000,3410.000000,3187.437500,116927600
2022-08-25,3410.000000,3470.000000,3370.000000,3410.000000,3187.437500,88737600
2022-08-26,3430.000000,3450.000000,3390.000000,3410.000000,3187.437500,55022600
2022-08-29,3380.000000,3470.000000,3330.000000,3460.000000,3234.174316,79496800
2022-08-30,3660.000000,3700.000000,3530.000000,3540.000000,3308.952881,160702700
2022-08-31,3510.000000,3570.000000,3480.000000,3540.000000,3308.952881,101731600
2022-09-01,3560.000000,3740.000000,3540.000000,3700.000000,3458.510010,162099600
2022-09-02,3750.000000,3830.000000,3720.000000,3780.000000,3533.288574,133943800
2022-09-05,3780.000000,4050.000000,3760.000000,4030.000000,3766.971680,194748100
2022-09-06,4080.000000,4160.000000,4020.000000,4040.000000,3776.319092,107870400
2022-09-07,4020.000000,4050.000000,3950.000000,4020.000000,3757.624512,92963400
2022-09-08,3970.000000,4000.000000,3900.000000,3940.000000,3682.845703,88447400
2022-09-09,3920.000000,3970.000000,3860.000000,3950.000000,3692.193115,73341100
2022-09-12,3960.000000,3990.000000,3900.000000,3970.000000,3710.887695,74852000
2022-09-13,3970.000000,4020.000000,3950.000000,4010.000000,3748.277100,71375900
2022-09-14,4000.000000,4040.000000,3940.000000,4010.000000,3748.277100,79037100
2022-09-15,4040.000000,4190.000000,4040.000000,4060.000000,3795.013672,120755300
2022-09-16,4050.000000,4050.000000,3930.000000,3930.000000,3673.498535,121776100
2022-09-19,3950.000000,3960.000000,3860.000000,3910.000000,3654.803711,134433200
2022-09-20,3930.000000,3970.000000,3860.000000,3890.000000,3636.109131,63910800
2022-09-21,3880.000000,3930.000000,3800.000000,3910.000000,3654.803711,67111800
2022-09-22,3910.000000,4120.000000,3890.000000,4100.000000,3832.403076,150225400
2022-09-23,4050.000000,4080.000000,4010.000000,4050.000000,3785.666260,77100300
2022-09-26,3940.000000,3940.000000,3830.000000,3860.000000,3608.067139,163896500
2022-09-27,3900.000000,3940.000000,3870.000000,3910.000000,3654.803711,89367200
2022-09-28,3900.000000,3960.000000,3860.000000,3870.000000,3617.414551,72114400
2022-09-29,3900.000000,3970.000000,3900.000000,3950.000000,3692.193115,91134100
2022-09-30,3920.000000,3960.000000,3870.000000,3960.000000,3701.540527,104670300
2022-10-03,3930.000000,4000.000000,3920.000000,3960.000000,3701.540527,54514500
2022-10-04,3990.000000,4120.000000,3990.000000,4120.000000,3851.097656,145080300
2022-10-05,4140.000000,4170.000000,4080.000000,4080.000000,3813.708252,57945800
2022-10-06,4080.000000,4250.000000,4040.000000,4100.000000,3832.403076,159208200
2022-10-07,4100.000000,4170.000000,4080.000000,4140.000000,3869.792236,49875500
2022-10-10,4050.000000,4050.000000,3920.000000,3920.000000,3664.151123,107867500
2022-10-11,3930.000000,3950.000000,3890.000000,3930.000000,3673.498535,59752100
2022-10-12,3960.000000,4050.000000,3960.000000,4000.000000,3738.929688,101116400
2022-10-13,4090.000000,4090.000000,4010.000000,4020.000000,3757.624512,53264100
2022-10-14,4000.000000,4050.000000,3950.000000,3950.000000,3692.193115,45091900
2022-10-17,3950.000000,3960.000000,3900.000000,3960.000000,3701.540527,42063700
2022-10-18,3980.000000,4000.000000,3840.000000,3860.000000,3608.067139,95622800
2022-10-19,3850.000000,3880.000000,3800.000000,3840.000000,3589.372559,69215500
2022-10-20,3840.000000,4000.000000,3830.000000,4000.000000,3738.929688,119895500
2022-10-21,3980.000000,4020.000000,3950.000000,3960.000000,3701.540527,37327700
2022-10-24,3970.000000,3990.000000,3910.000000,3920.000000,3664.151123,47873100
2022-10-25,3890.000000,3920.000000,3840.000000,3880.000000,3626.761963,74608100
2022-10-26,3880.000000,3950.000000,3850.000000,3930.000000,3673.498535,73155800
2022-10-27,3950.000000,4020.000000,3920.000000,3980.000000,3720.235107,81920000
2022-10-28,4000.000000,4000.000000,3900.000000,3910.000000,3654.803711,54061300
2022-10-31,3940.000000,3980.000000,3920.000000,3980.000000,3720.235107,76758600
2022-11-01,3940.000000,3940.000000,3720.000000,3750.000000,3505.246582,175308100
2022-11-02,3750.000000,3820.000000,3690.000000,3740.000000,3495.899414,101047500
2022-11-03,3740.000000,3810.000000,3730.000000,3750.000000,3505.246582,57965500
2022-11-04,3730.000000,3790.000000,3710.000000,3750.000000,3505.246582,84299700
2022-11-07,3750.000000,3830.000000,3730.000000,3830.000000,3580.025146,74309100
